c1_25[0] | type=Btn | page=1 | object=785_0 | value=Off | default= | flags= | maxLength= | rect=414.4,401.001,422.4,409.001 | states=1,Off | options=
c1_26[0] | type=Btn | page=1 | object=782_0 | value=Off | default= | flags= | maxLength= | rect=472,401.001,480,409.001 | states=1,Off | options=
c1_27[0] | type=Btn | page=1 | object=783_0 | value=Off | default= | flags= | maxLength= | rect=522.4,401.001,530.4,409.001 | states=1,Off | options=
c1_28[0] | type=Btn | page=1 | object=776_0 | value=Off | default= | flags= | maxLength= | rect=148,380.002,156,388.002 | states=1,Off | options=
c1_28[1] | type=Btn | page=1 | object=777_0 | value=Off | default= | flags= | maxLength= | rect=198.4,380.002,206.4,388.002 | states=2,Off | options=
c1_29[0] | type=Btn | page=1 | object=774_0 | value=Off | default= | flags= | maxLength= | rect=256,380.002,264,388.002 | states=1,Off | options=
c1_29[1] | type=Btn | page=1 | object=775_0 | value=Off | default= | flags= | maxLength= | rect=306.4,380.002,314.4,388.002 | states=2,Off | options=
c1_30[0] | type=Btn | page=1 | object=772_0 | value=Off | default= | flags= | maxLength= | rect=364,380.002,372,388.002 | states=1,Off | options=
c1_30[1] | type=Btn | page=1 | object=773_0 | value=Off | default= | flags= | maxLength= | rect=414.4,380.002,422.4,388.002 | states=2,Off | options=
c1_31[0] | type=Btn | page=1 | object=770_0 | value=Off | default= | flags= | maxLength= | rect=472,380.002,480,388.002 | states=1,Off | options=
c1_31[1] | type=Btn | page=1 | object=771_0 | value=Off | default= | flags= | maxLength= | rect=522.4,380.002,530.4,388.002 | states=2,Off | options=
c1_32[0] | type=Btn | page=1 | object=717_0 | value=Off | default= | flags= | maxLength= | rect=95.599,359.501,103.599,367.501 | states=1,Off | options=
f1_47[0] | type=Tx | page=1 | object=718_0 | value= | default= | flags=8388608 | maxLength= | rect=504,330.001,576,342 | states= | options=
f1_48[0] | type=Tx | page=1 | object=719_0 | value= | default= | flags=8388608 | maxLength= | rect=504,318.002,576,330.001 | states= | options=
f1_49[0] | type=Tx | page=1 | object=720_0 | value= | default= | flags=8388608 | maxLength= | rect=504,306,576,317.999 | states= | options=
f1_50[0] | type=Tx | page=1 | object=721_0 | value= | default= | flags=8388608 | maxLength= | rect=504,294.001,576,306 | states= | options=
f1_51[0] | type=Tx | page=1 | object=722_0 | value= | default= | flags=8388608 | maxLength= | rect=504,282.002,576,294.001 | states= | options=
f1_52[0] | type=Tx | page=1 | object=723_0 | value= | default= | flags=8388608 | maxLength= | rect=504,270,576,281.999 | states= | options=
f1_53[0] | type=Tx | page=1 | object=724_0 | value= | default= | flags=8388608 | maxLength= | rect=504,258.001,576,270 | states= | options=
f1_54[0] | type=Tx | page=1 | object=725_0 | value= | default= | flags=8388608 | maxLength= | rect=344.2,247.002,475.2,258.001 | states= | options=
f1_55[0] | type=Tx | page=1 | object=726_0 | value= | default= | flags=8388608 | maxLength= | rect=504,246.002,576,258.001 | states= | options=
f1_56[0] | type=Tx | page=1 | object=727_0 | value= | default= | flags=8388608 | maxLength= | rect=410.4,234,481.65,245.999 | states= | options=
f1_57[0] | type=Tx | page=1 | object=728_0 | value= | default= | flags=8388608 | maxLength= | rect=504,222.001,576,234 | states= | options=
f1_58[0] | type=Tx | page=1 | object=729_0 | value= | default= | flags=8388608 | maxLength= | rect=252,210.002,323.25,222.001 | states= | options=
f1_59[0] | type=Tx | page=1 | object=730_0 | value= | default= | flags=8388608 | maxLength= | rect=504,210.002,576,222.001 | states= | options=
f1_60[0] | type=Tx | page=1 | object=731_0 | value= | default= | flags=8388608 | maxLength= | rect=252,198,323.25,209.999 | states= | options=
f1_61[0] | type=Tx | page=1 | object=732_0 | value= | default= | flags=8388608 | maxLength= | rect=504,198,576,209.999 | states= | options=
c1_33[0] | type=Btn | page=1 | object=733_0 | value=Off | default= | flags= | maxLength= | rect=283.8,187.501,291.8,195.501 | states=1,Off | options=
c1_34[0] | type=Btn | page=1 | object=734_0 | value=Off | default= | flags= | maxLength= | rect=363,187.501,371,195.501 | states=1,Off | options=
f1_62[0] | type=Tx | page=1 | object=735_0 | value= | default= | flags=8388608 | maxLength= | rect=252,174.002,323.25,186.001 | states= | options=
f1_63[0] | type=Tx | page=1 | object=736_0 | value= | default= | flags=8388608 | maxLength= | rect=504,174.002,576,186.001 | states= | options=
c1_35[0] | type=Btn | page=1 | object=737_0 | value=Off | default= | flags= | maxLength= | rect=283.8,163.5,291.8,171.5 | states=1,Off | options=
c1_36[0] | type=Btn | page=1 | object=738_0 | value=Off | default= | flags= | maxLength= | rect=363,163.5,371,171.5 | states=1,Off | options=
c1_37[0] | type=Btn | page=1 | object=739_0 | value=Off | default= | flags= | maxLength= | rect=427.799,163.5,435.799,171.5 | states=1,Off | options=
f1_64[0] | type=Tx | page=1 | object=740_0 | value= | default= | flags=8388608 | maxLength= | rect=439.2,162,475.2,173.999 | states= | options=
f1_65[0] | type=Tx | page=1 | object=741_0 | value= | default= | flags=8388608 | maxLength= | rect=252,150.001,323.25,162 | states= | options=
f1_66[0] | type=Tx | page=1 | object=742_0 | value= | default= | flags=8388608 | maxLength= | rect=504,150.001,576,162 | states= | options=
c1_38[0] | type=Btn | page=1 | object=743_0 | value=Off | default= | flags= | maxLength= | rect=283.8,139.502,291.8,147.502 | states=1,Off | options=
c1_39[0] | type=Btn | page=1 | object=744_0 | value=Off | default= | flags= | maxLength= | rect=363,139.502,371,147.502 | states=1,Off | options=
c1_40[0] | type=Btn | page=1 | object=745_0 | value=Off | default= | flags= | maxLength= | rect=427.799,139.502,435.799,147.502 | states=1,Off | options=
f1_67[0] | type=Tx | page=1 | object=746_0 | value= | default= | flags=8388608 | maxLength= | rect=439.2,138.002,475.2,150.001 | states= | options=
f1_68[0] | type=Tx | page=1 | object=747_0 | value= | default= | flags=8388608 | maxLength= | rect=252,126,323.25,137.999 | states= | options=
f1_69[0] | type=Tx | page=1 | object=748_0 | value= | default= | flags=8388608 | maxLength= | rect=504,126,576,137.999 | states= | options=
c1_41[0] | type=Btn | page=1 | object=749_0 | value=Off | default= | flags= | maxLength= | rect=467.2,116.001,475.2,124.001 | states=1,Off | options=
c1_42[0] | type=Btn | page=1 | object=750_0 | value=Off | default= | flags= | maxLength= | rect=467.2,104.002,475.2,112.002 | states=1,Off | options=
f1_70[0] | type=Tx | page=1 | object=751_0 | value= | default= | flags=8388608 | maxLength= | rect=504,90,576,101.999 | states= | options=
c1_43[0] | type=Btn | page=1 | object=752_0 | value=Off | default= | flags= | maxLength= | rect=153.2,79.501,161.2,87.501 | states=1,Off | options=
c1_44[0] | type=Btn | page=1 | object=753_0 | value=Off | default= | flags= | maxLength= | rect=261.2,79.501,269.2,87.501 | states=1,Off | options=
f1_71[0] | type=Tx | page=1 | object=754_0 | value= | default= | flags=8388608 | maxLength= | rect=403.2,78.001,475.2,90 | states= | options=
f1_72[0] | type=Tx | page=1 | object=755_0 | value= | default= | flags=8388608 | maxLength= | rect=504,66.002,576,78.001 | states= | options=
f1_73[0] | type=Tx | page=1 | object=756_0 | value= | default= | flags=8388608 | maxLength= | rect=504,54,576,65.999 | states= | options=
f1_74[0] | type=Tx | page=1 | object=757_0 | value= | default= | flags=8388608 | maxLength= | rect=504,42.001,576,54 | states= | options=
f1_75[0] | type=Tx | page=1 | object=758_0 | value= | default= | flags=8388608 | maxLength= | rect=504,30.002,576,42.001 | states= | options=
f2_01[0] | type=Tx | page=2 | object=831_0 | value= | default= | flags=8388608 | maxLength= | rect=504,744.001,576,756 | states= | options=
c2_1[0] | type=Btn | page=2 | object=832_0 | value=Off | default= | flags= | maxLength= | rect=203.6,734.002,211.6,742.002 | states=1,Off | options=
c2_2[0] | type=Btn | page=2 | object=833_0 | value=Off | default= | flags= | maxLength= | rect=304.4,734.002,312.4,742.002 | states=1,Off | options=
c2_3[0] | type=Btn | page=2 | object=834_0 | value=Off | default= | flags= | maxLength= | rect=115.2,722,123.2,730 | states=1,Off | options=
c2_4[0] | type=Btn | page=2 | object=835_0 | value=Off | default= | flags= | maxLength= | rect=304.4,722,312.4,730 | states=1,Off | options=
c2_5[0] | type=Btn | page=2 | object=836_0 | value=Off | default= | flags= | maxLength= | rect=153.2,710.001,161.2,718.001 | states=1,Off | options=
c2_6[0] | type=Btn | page=2 | object=837_0 | value=Off | default= | flags= | maxLength= | rect=311.6,710.001,319.6,718.001 | states=1,Off | options=
c2_7[0] | type=Btn | page=2 | object=838_0 | value=Off | default= | flags= | maxLength= | rect=153.2,698.002,161.2,706.002 | states=1,Off | options=
c2_8[0] | type=Btn | page=2 | object=839_0 | value=Off | default= | flags= | maxLength= | rect=311.6,698.002,319.6,706.002 | states=1,Off | options=
f2_02[0] | type=Tx | page=2 | object=840_0 | value= | default= | flags=8388608 | maxLength= | rect=504,684,576,695.999 | states= | options=
f2_03[0] | type=Tx | page=2 | object=841_0 | value= | default= | flags=8388608 | maxLength= | rect=504,672.001,576,684 | states= | options=
f2_04[0] | type=Tx | page=2 | object=842_0 | value= | default= | flags=8388608 | maxLength= | rect=504,660.002,576,672.001 | states= | options=
f2_05[0] | type=Tx | page=2 | object=843_0 | value= | default= | flags=8388608 | maxLength= | rect=504,648,576,659.999 | states= | options=
f2_06[0] | type=Tx | page=2 | object=844_0 | value= | default= | flags=8388608 | maxLength= | rect=504,636.001,576,648 | states= | options=
c2_9[0] | type=Btn | page=2 | object=845_0 | value=Off | default= | flags= | maxLength= | rect=312.6,626.002,320.6,634.002 | states=1,Off | options=
c2_10[0] | type=Btn | page=2 | object=846_0 | value=Off | default= | flags= | maxLength= | rect=370.2,626.002,378.2,634.002 | states=1,Off | options=
c2_11[0] | type=Btn | page=2 | object=847_0 | value=Off | default= | flags= | maxLength= | rect=427.799,626.002,435.799,634.002 | states=1,Off | options=
f2_07[0] | type=Tx | page=2 | object=848_0 | value= | default= | flags=8388608 | maxLength= | rect=439.2,624.002,475.2,636.001 | states= | options=
f2_08[0] | type=Tx | page=2 | object=849_0 | value= | default= | flags=8388608 | maxLength= | rect=504,624.002,576,636.001 | states= | options=
f2_09[0] | type=Tx | page=2 | object=850_0 | value= | default= | flags=8388608 | maxLength= | rect=504,612,576,623.999 | states= | options=
f2_10[0] | type=Tx | page=2 | object=851_0 | value= | default= | flags=8388608 | maxLength= | rect=504,600.001,576,612 | states= | options=
f2_11[0] | type=Tx | page=2 | object=852_0 | value= | default= | flags=8388608 | maxLength= | rect=504,588.002,576,600.001 | states= | options=
f2_12[0] | type=Tx | page=2 | object=853_0 | value= | default= | flags=8388608 | maxLength= | rect=504,576,576,587.999 | states= | options=
f2_13[0] | type=Tx | page=2 | object=854_0 | value= | default= | flags=8388608 | maxLength= | rect=504,564.001,576,576 | states= | options=
f2_14[0] | type=Tx | page=2 | object=855_0 | value= | default= | flags=8388608 | maxLength= | rect=504,552.002,576,564.001 | states= | options=
f2_15[0] | type=Tx | page=2 | object=856_0 | value= | default= | flags=8388608 | maxLength= | rect=504,540,576,551.999 | states= | options=
f2_16[0] | type=Tx | page=2 | object=857_0 | value= | default= | flags=8388608 | maxLength= | rect=504,528.001,576,540 | states= | options=
f2_17[0] | type=Tx | page=2 | object=858_0 | value= | default= | flags=8388608 | maxLength= | rect=410.4,504,481.65,515.999 | states= | options=
f2_18[0] | type=Tx | page=2 | object=859_0 | value= | default= | flags=8388608 | maxLength= | rect=410.4,492.001,481.65,504 | states= | options=
f2_19[0] | type=Tx | page=2 | object=676_0 | value= | default= | flags=8388608 | maxLength= | rect=410.4,480.002,481.65,492.001 | states= | options=
f2_20[0] | type=Tx | page=2 | object=860_0 | value= | default= | flags=8388608 | maxLength= | rect=504,468,576,479.999 | states= | options=
