f1_33[0] | type=Tx | kind=text | page=1 | object=355_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=446.4,299.968,510.45,311.969 | states= | onValues= | options=
f1_34[0] | type=Tx | kind=text | page=1 | object=356_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=511.2,299.968,576,311.969 | states= | onValues= | options=
f1_35[0] | type=Tx | kind=text | page=1 | object=341_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8392704 | maxLength= | rect=36,275.967,172.05,299.968 | states= | onValues= | options=
f1_36[0] | type=Tx | kind=text | page=1 | object=342_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=172.8,275.967,223.2,287.968 | states= | onValues= | options=
f1_37[0] | type=Tx | kind=text | page=1 | object=343_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=223.2,275.967,273.6,287.968 | states= | onValues= | options=
f1_38[0] | type=Tx | kind=text | page=1 | object=344_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=273.6,275.967,337.65,287.968 | states= | onValues= | options=
f1_39[0] | type=Tx | kind=text | page=1 | object=345_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=338.4,275.967,402.45,287.968 | states= | onValues= | options=
f1_40[0] | type=Tx | kind=text | page=1 | object=346_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=403.2,275.967,446.4,287.968 | states= | onValues= | options=
f1_41[0] | type=Tx | kind=text | page=1 | object=347_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=446.4,275.967,510.45,287.968 | states= | onValues= | options=
f1_42[0] | type=Tx | kind=text | page=1 | object=348_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=511.2,275.967,576,287.968 | states= | onValues= | options=
